epoch,train_loss,val_loss
0,1.8010903426579066,1.274705171585083
1,1.1625632813998632,0.8927775621414185
2,0.9514507906777518,0.8598166108131409
3,0.873125067778996,0.7170166969299316
4,0.7660738910947528,0.7463469505310059
5,0.6785751070295062,0.6137770414352417
6,0.6212673187255859,0.5634030103683472
7,0.5657714690480914,0.5579671263694763
8,0.5305137932300568,0.5299714207649231
9,0.49728805678231375,0.5781867504119873
10,0.44215879270008634,0.503517746925354
11,0.423983565398625,0.4861336946487427
