epoch,train_loss,val_loss
0,1.1582133344241552,1.1093814373016357
1,0.9796262553759983,1.2025824785232544
2,0.8981982725007194,1.3684968948364258
3,0.8194124060017722,1.2979508638381958
4,0.8122964160782951,1.1082348823547363
5,0.7092983382088798,1.1806894540786743
6,0.7054310951914106,1.0879851579666138
7,0.7373556665011815,1.2050907611846924
8,0.6415782485689435,1.119503378868103
9,0.6157245465687343,1.1325132846832275
10,0.5537846514156887,0.9366765022277832
11,0.5373391083308628,1.1114859580993652
12,0.517317418541227,1.046769618988037
13,0.4660551335130419,1.0742946863174438
14,0.45664351752826143,0.9024866819381714
15,0.39762733238083975,1.0167557001113892
16,0.39505329515252796,0.9895340204238892
17,0.4383123495749065,1.1260216236114502
18,0.35110521955149515,1.1541213989257812
19,0.3094623237848282,0.8809961080551147
